,Created_at,Text,Clean Text,Screen_Name,Lang,Favourite_count,Retweet_count,Fecha creacion,Followers,Verificado,Cantidad Fav,País,Coordenadas,ID
0,2022-03-20 23:59:53+00:00,"RT @ldpsincomplejos: El gobierno y sus terminales mediáticas, atribuyendo a ""la ultraderecha"" el éxito de una huelga de transporte que está…", el gobierno y sus terminales medi ticas  atribuyendo a  la ultraderecha  el  xito de una huelga de transporte que est  ,Tuko_UdA,es,0,1270,2012-03-07 10:18:34+00:00,205,False,63918,"Madrid, España",,1505695655741775876
2,2022-03-20 23:58:26+00:00,RT @MarDGamero: El Gobierno ha ordenado multar a los huelguistas del transporte por “reunión ilegal” si hay más de 20 huelguistas concentra…, el gobierno ha ordenado multar a los huelguistas del transporte por  reuni n ilegal  si hay m s de 20 huelguistas concentra ,BettyJz2,es,0,1062,2016-01-21 10:30:07+00:00,14897,False,50465,,,1505695290094927872
3,2022-03-20 23:57:31+00:00,RT @JupolNacional: 🔵Desde #Jupol nuestro apoyo a los TRABAJADORES del transporte que se acogen a su DERECHO CONSTITUCIONAL para realizar la…,  desde  jupol nuestro apoyo a los trabajadores del transporte que se acogen a su derecho constitucional para realizar la ,JosePer52796553,es,0,199,2019-06-12 10:11:58+00:00,187,False,9097,"Málaga, España",,1505695058288390144
4,2022-03-20 23:57:19+00:00,RT @el_pais: Vox reúne a miles frente a los ayuntamientos para protestar contra el Gobierno por la subida de precios y gritan lemas como “S…, vox re ne a miles frente a los ayuntamientos para protestar contra el gobierno por la subida de precios y gritan lemas como  s ,vega6797,es,0,142,2012-02-01 21:39:02+00:00,193,False,13388,"Valencia, España",,1505695009844178950
6,2022-03-20 23:54:36+00:00,"RT @elmundoes: No usar los términos ""huelga"" y ""piquete"" e informar de las ""reuniones ilegales""... Las instrucciones del Gobierno a la Guar…", no usar los t rminos  huelga  y  piquete  e informar de las  reuniones ilegales     las instrucciones del gobierno a la guar ,siono_nose,es,0,359,2014-09-26 23:51:13+00:00,28,False,12795,"Galicia, España",,1505694324343939075
7,2022-03-20 23:53:53+00:00,RT @Apapell: Hay un sospechoso matiz político en la huelga minoritaria del transporte. Conviene que nadie se deje engañar por los “patriota…, hay un sospechoso matiz pol tico en la huelga minoritaria del transporte  conviene que nadie se deje enga ar por los  patriota ,Sol11303586,es,0,1077,2014-01-27 10:38:22+00:00,6,False,10216,,,1505694145880465408
8,2022-03-20 23:53:28+00:00,Vergonzoso vídeo de CCOO atacando a la huelga del transporte https://t.co/mWCQB7Rmry vía @ElDiestro_,vergonzoso v deo de ccoo atacando a la huelga del transporte   v a   ,Copas4321,es,3,0,2021-03-30 14:02:33+00:00,2206,False,5739,,,1505694041404497925
9,2022-03-20 23:52:47+00:00,"RT @HacerNacion: 📍El Ejido . Apoyo a los piquetes en la huelga del transporte.

📍Gijón.Presentación del libro Descifrando el Islam por su a…",  el ejido   apoyo a los piquetes en la huelga del transporte    gij n presentaci n del libro descifrando el islam por su a ,Inconformistaru,es,0,23,2016-02-04 12:13:14+00:00,3203,False,3485,España,,1505693869148721158
10,2022-03-20 23:52:47+00:00,RT @JuanCar96622661: Vergonzoso el tratamiento manipulador de @SextaNocheTV sobre la huelga de Transporte Elisa Beni diciendo que el instig…, vergonzoso el tratamiento manipulador de   sobre la huelga de transporte elisa beni diciendo que el instig ,Manueldoga70_Do,es,0,34,2016-09-03 09:42:28+00:00,199,False,54479,Madrid ,,1505693868498558990
11,2022-03-20 23:52:43+00:00,"RT @HacerNacion: 📍Gijón. Apoyo a los piquetes por la huelga  del transporte.

📍Alicante. Concentración contra el gobierno frente al Ayuntam…",  gij n  apoyo a los piquetes por la huelga  del transporte    alicante  concentraci n contra el gobierno frente al ayuntam ,Inconformistaru,es,0,21,2016-02-04 12:13:14+00:00,3203,False,3485,España,,1505693852681883648
12,2022-03-20 23:52:31+00:00,"RT @HacerNacion: 📸 Resumen semanal:

📍Oviedo. Apoyo a la manifestación de transportistas y del sector del campo.

📍 Valdemoro. Reparto de a…",   resumen semanal    oviedo  apoyo a la manifestaci n de transportistas y del sector del campo     valdemoro  reparto de a ,Inconformistaru,es,0,44,2016-02-04 12:13:14+00:00,3203,False,3485,España,,1505693802752794628
17,2022-03-20 23:51:34+00:00,"@PabloFuente @Tukki67662004 @carmenporter_ @navedelmisterio No, joder... como está el mundo...pero no hay transporte..? de barcos?
Aquí ya sabras hay huelga de transportistas...les subieron como autónomos y ahora como está la gasolina....🙃 y los ganaderos...agricultores...lss materiss primas...no ganan nada, dejarán de cosechar han dicho",         no  joder    como est  el mundo   pero no hay transporte    de barcos  aqu  ya sabras hay huelga de transportistas   les subieron como aut nomos y ahora como est  la gasolina      y los ganaderos   agricultores   lss materiss primas   no ganan nada  dejar n de cosechar han dicho,LauraBlancoRiva,es,1,0,2013-02-24 20:46:19+00:00,753,False,83616,madrid,,1505693562297626626
26,2022-03-20 23:46:20+00:00,RT @Jea60930295: Maestros de la perversión del idioma.   Las instrucciones del Gobierno a la Guardia Civil ante el paro en el transporte :…, maestros de la perversi n del idioma    las instrucciones del gobierno a la guardia civil ante el paro en el transporte   ,Mariamoral29,es,0,37,2016-12-29 20:50:24+00:00,590,False,81166,,,1505692247123189762
27,2022-03-20 23:45:34+00:00,"RT @JavierArocaA: Y la tanketa , #Marlaska @interiorgob , dónde está la tanketa? La de Cadi .  

El Gobierno califica la huelga del transpo…", y la tanketa    marlaska     d nde est  la tanketa  la de cadi      el gobierno califica la huelga del transpo ,Antonperilon,es,0,330,2020-01-15 21:59:18+00:00,1517,False,34497,,,1505692053681934346
32,2022-03-20 23:43:03+00:00,"Quienes están detrás de la protesta de este domingo en Madrid no son “el campo” y el paro patronal del transporte de mercancías por carretera no es una huelga, pero el PSOE está jugando con fuego👇
 https://t.co/pMwtEbdwhL",quienes est n detr s de la protesta de este domingo en madrid no son  el campo  y el paro patronal del transporte de mercanc as por carretera no es una huelga  pero el psoe est  jugando con fuego    ,Tomachesky1,es,3,0,2021-09-24 22:52:05+00:00,938,False,6800,,,1505691418408402946
33,2022-03-20 23:43:01+00:00,"Las noticias serán la huelga de transporte, el COVID , Ucrania y el polvo de Adrián 😂😂😂😂😂😂😂#RafaNoche10",las noticias ser n la huelga de transporte  el covid   ucrania y el polvo de adri n         rafanoche10,eglion2001,es,3,0,2012-10-13 18:27:19+00:00,27,False,4072,,,1505691410514776068
36,2022-03-20 23:42:06+00:00,"RT @6b47e7642cda4fb: #HuelgaTransporte He visto en la huelga cosas q vosotros no creeríais.Gente que no tiene ni idea de agricultura, ni tr…",  huelgatransporte he visto en la huelga cosas q vosotros no creer ais gente que no tiene ni idea de agricultura  ni tr ,ricar_astrocamp,es,0,39,2016-03-02 21:50:36+00:00,1269,False,85516,,,1505691180029333507
48,2022-03-20 23:37:36+00:00,"RT @juanluglez: Por si aún tienen alguna duda !!

Entre 1500 y 2000 autobuses se han desplazado hoy a Madrid.

Al no haber ni regalar gamba…", por si a n tienen alguna duda     entre 1500 y 2000 autobuses se han desplazado hoy a madrid   al no haber ni regalar gamba ,marcelomeajusta,es,0,6,2016-02-08 00:24:08+00:00,1310,False,23897,España,,1505690048607535109
53,2022-03-20 23:35:28+00:00,RT @anluma99: No es una HUELGA. No es una coincidencia la simultaneidad entre la presentación del sindicato de Vox  y un paro patronal del…, no es una huelga  no es una coincidencia la simultaneidad entre la presentaci n del sindicato de vox  y un paro patronal del ,sabela_mar,es,0,510,2013-05-07 21:18:22+00:00,1545,False,127417,,,1505689512491499521
54,2022-03-20 23:33:48+00:00,"RT @PJoliCo: Como siga la huelga de transporte, algunos en la izquierda lo van a pasar mal. Está agotado ya en la farmacias 🤣 https://t.co/…", como siga la huelga de transporte  algunos en la izquierda lo van a pasar mal  est  agotado ya en la farmacias    ,fumoMBM,es,0,10,2013-03-23 12:53:38+00:00,442,False,520,,,1505689093770035200
55,2022-03-20 23:33:40+00:00,"RT @encarnasamitier: #Portadas @20m: #Protesta El campo exige una plan de choque ""contundente"" en una manifestación ""histórica"" en Madrid;…",  portadas     protesta el campo exige una plan de choque  contundente  en una manifestaci n  hist rica  en madrid  ,kaluapiscis,es,0,4,2012-09-02 14:39:20+00:00,14402,False,147362,"Vitoria, España",,1505689058005106693
61,2022-03-20 23:28:09+00:00,"RT @adelpozos: Antisindicalistas irredentos, con su disfraz favorito de técnicos y moderados, llamando impropiamente ""huelga"" y poniendo en…", antisindicalistas irredentos  con su disfraz favorito de t cnicos y moderados  llamando impropiamente  huelga  y poniendo en ,jfarrev,es,0,15,2012-08-28 08:27:26+00:00,264,False,9392,,,1505687668029542401
62,2022-03-20 23:28:06+00:00,@PriamoTroyano @RubenSanchezTW @vigobulldog Plataforma en Defensa del Sector de Transporte de Mercancías por Carretera. De nada… sabe ya la diferencia entre huelga y paro patronal?,      plataforma en defensa del sector de transporte de mercanc as por carretera  de nada  sabe ya la diferencia entre huelga y paro patronal ,jmanuelip72,es,1,0,2017-11-17 19:40:47+00:00,146,False,4875,,,1505687657443213314
68,2022-03-20 23:24:25+00:00,"RT @jucilnacional: Instrucciones del Gobierno para actuar «con más contundencia» frente a los transportistas.

Restringir derechos a huelgu…", instrucciones del gobierno para actuar  con m s contundencia  frente a los transportistas   restringir derechos a huelgu ,juancarlosoton1,es,0,126,2015-07-09 20:45:53+00:00,183,False,38233,"A Coruña, España",,1505686728971063302
79,2022-03-20 23:20:09+00:00,"RT @Capitapioca: El gobierno en lugar de solucionar la huelga de transporte, prefiere crear problemas y acusar a los piquetes y camioneros…", el gobierno en lugar de solucionar la huelga de transporte  prefiere crear problemas y acusar a los piquetes y camioneros ,Capitapioca,es,0,203,2011-03-29 00:26:45+00:00,15589,False,181486,Erase una vez España...,,1505685655313166337
81,2022-03-20 23:18:53+00:00,"RT @AUGC_Comunica: 🥁Ensayos musicales con unidades de élite en las instalaciones del GRS 1 y en plena huelga de transporte.

https://t.co/a…",  ensayos musicales con unidades de  lite en las instalaciones del grs 1 y en plena huelga de transporte    ,AUGC_Andalucia,es,0,20,2013-12-31 14:09:28+00:00,1815,False,32369,"Andalucía, España",,1505685337485496324
82,2022-03-20 23:18:31+00:00,"RT @juananseg: Respecto a la huelga/paro patronal del transporte, que la ultraderecha está detrás, organizando o apoyando, está claro. Desd…", respecto a la huelga paro patronal del transporte  que la ultraderecha est  detr s  organizando o apoyando  est  claro  desd ,iirenecc,es,0,36,2011-01-25 19:10:17+00:00,154,False,703,,,1505685247584837632
92,2022-03-20 23:09:44+00:00,RT @informativost5: Los hospitales gallegos priorizan las pruebas urgentes por escasez de suministros por la huelga de transporte https://t…, los hospitales gallegos priorizan las pruebas urgentes por escasez de suministros por la huelga de transporte  ,Laura__portas,es,0,5,2010-10-06 12:41:16+00:00,858,False,2544,,,1505683034695217156
95,2022-03-20 23:09:12+00:00,"RT @locodelpelorojo: Santiago Abascal, líder de la ultraderecha, dijo ayer apoyar la huelga de transportes, pero promete aprobar una ley de…", santiago abascal  l der de la ultraderecha  dijo ayer apoyar la huelga de transportes  pero promete aprobar una ley de ,bastioncillo,es,0,86,2018-01-26 20:02:11+00:00,81,False,96687,,,1505682899693146113
103,2022-03-20 23:06:39+00:00,"RT @jucilnacional: Activistas por piquetes y paro, por huelga. 

Exponen a más de 23000 agentes para que tomen medias extremas y contundent…", activistas por piquetes y paro  por huelga    exponen a m s de 23000 agentes para que tomen medias extremas y contundent ,rafer_69,es,0,177,2012-12-16 22:31:01+00:00,114,False,3988,Talavera de la Reina,,1505682260237897734
105,2022-03-20 23:05:42+00:00,"RT @jucilnacional: El Ministerio del Interior ha dado un paso más en el intento del Gobierno de demonizar la huelga de transportistas.

#JU…", el ministerio del interior ha dado un paso m s en el intento del gobierno de demonizar la huelga de transportistas    ju ,rafer_69,es,0,222,2012-12-16 22:31:01+00:00,114,False,3988,Talavera de la Reina,,1505682020587999235
110,2022-03-20 23:03:03+00:00,"Piquetes informativos, sin palabras…

https://t.co/tDd1ZDaNEF",piquetes informativos  sin palabras    ,CollPuch,es,0,0,2022-02-10 14:18:41+00:00,152,False,943,Madrid ,,1505681354872213509
111,2022-03-20 23:03:02+00:00,RT @AzotandoM: @RubenSanchezTW @vigobulldog No hace falta ni es necesario agredir a quien agrede la inteligencia y sentido común cada vez q…,     no hace falta ni es necesario agredir a quien agrede la inteligencia y sentido com n cada vez q ,celtavigo63,es,0,2,2013-02-14 12:40:05+00:00,3473,False,163690,"Vigo, España",,1505681349109325829
112,2022-03-20 23:03:02+00:00,"RT @egtegain: QUE NO TE MANIPULEN.

HILO👇

1/3.El Gobierno de Sanchez Demoniza como ""Violentos de Ultraderecha"" a La Plataforma de Defensa…", que no te manipulen   hilo   1 3 el gobierno de sanchez demoniza como  violentos de ultraderecha  a la plataforma de defensa ,extramboticas,es,0,121,2016-05-09 09:23:18+00:00,1317,False,19509,Universo,,1505681347817267200
118,2022-03-20 23:01:43+00:00,"Como siga la huelga de transporte, algunos en la izquierda lo van a pasar mal. Está agotado ya en la farmacias 🤣 https://t.co/aP9bh5ccZU",como siga la huelga de transporte  algunos en la izquierda lo van a pasar mal  est  agotado ya en la farmacias    ,PJoliCo,es,52,10,2017-08-05 21:12:18+00:00,7336,False,883706,Mi ID dice habitante d Camelot,,1505681015846621192
127,2022-03-20 22:57:59+00:00,"RT @sincomplejos__: 👉 Las #Comandancias reciben la orden de no utilizar términos como ""huelga"" o ""piquete"" y deben emplear ""paro"" o ""activi…",   las  comandancias reciben la orden de no utilizar t rminos como  huelga  o  piquete  y deben emplear  paro  o  activi ,urbanitasmarcos,es,0,137,2011-10-17 22:29:47+00:00,175,False,3091,Orihuela-Valencia,,1505680077551550469
129,2022-03-20 22:57:32+00:00,"RT @militaresantifa: En la GC ordenan no utilizar en comunicaciones las palabras huelga para la del transporte ni piquete, si no ""paro"" y ""…", en la gc ordenan no utilizar en comunicaciones las palabras huelga para la del transporte ni piquete  si no  paro  y   ,artillera06,es,0,58,2019-04-18 11:10:03+00:00,1855,False,2842,,,1505679963248541696
134,2022-03-20 22:57:04+00:00,"RT @GPogui: Estamos al borde del desabastecimiento en España por la Huelga SILENCIADA de Transporte, y en dos días más, cuando la población…", estamos al borde del desabastecimiento en espa a por la huelga silenciada de transporte  y en dos d as m s  cuando la poblaci n ,aepidre,es,0,19,2010-07-12 17:56:59+00:00,369,False,11049,Cádiz,,1505679849310113794
135,2022-03-20 22:56:29+00:00,"RT @nancyarett: @fermont1965 Asalariado si, pues mientras te vaya bien para que vas a ir ni apoyar nada..poco sabes de esta huelga y de cam…",   asalariado si  pues mientras te vaya bien para que vas a ir ni apoyar nada  poco sabes de esta huelga y de cam ,humoiberico,es,0,1,2021-03-05 22:20:16+00:00,3210,False,137352,La millor Terreta de lo Món,,1505679701980979206
139,2022-03-20 22:54:12+00:00,"RT @jucilnacional: Para el Gobierno, en el conflicto del transporte no hay “piquetes”, que fueron despenalizados, ni “huelga”

Utilizándono…", para el gobierno  en el conflicto del transporte no hay  piquetes   que fueron despenalizados  ni  huelga   utiliz ndono ,Juancho_E,es,0,131,2011-04-29 15:00:51+00:00,431,False,100023,"País Vasco, España",,1505679124756586496
147,2022-03-20 22:50:14+00:00,RT @MarDGamero: El Gobierno vincula la huelga del sector del transporte a “un boicot alentado desde la ultraderecha” y despliega más de 15.…, el gobierno vincula la huelga del sector del transporte a  un boicot alentado desde la ultraderecha  y despliega m s de 15  ,Rosamarina22,es,0,2451,2010-11-04 23:10:08+00:00,244,False,22545,,,1505678126826860548
152,2022-03-20 22:49:34+00:00,"RT @Manuela_Martin6: @RubenSanchezTW Los que están en huelga son los 90000 camioneros autónomos, a los q la patronal del transporte, con la…",   los que est n en huelga son los 90000 camioneros aut nomos  a los q la patronal del transporte  con la ,Jos80140686,es,0,5,2019-04-24 10:39:30+00:00,77,False,17094,"Las Rozas de Madrid, España",,1505677960145215488
154,2022-03-20 22:48:24+00:00,"RT @jusapoleuskadi: El Gobierno que permite homenajes a terroristas y que el independentismo en Cataluña actue con total impunidad, contra…", el gobierno que permite homenajes a terroristas y que el independentismo en catalu a actue con total impunidad  contra ,FrancoEscuderC,es,0,71,2013-01-01 12:25:04+00:00,111,False,20743,"Aragón, España",,1505677665067585538
159,2022-03-20 22:47:14+00:00,"RT @jucilnacional: Interior ordena multar a los huelguistas del transporte por reunión ilegal si hay más de 20 en el mismo punto.

Via @lib…", interior ordena multar a los huelguistas del transporte por reuni n ilegal si hay m s de 20 en el mismo punto   via   ,JaxonXXL,es,0,237,2012-07-23 15:03:36+00:00,1157,False,11757,España,,1505677371676016640
164,2022-03-20 22:45:42+00:00,"RT @lopezvicky20: @mikihoyos @Santi_ABASCAL No entiendo nada. 
Huelga de transporte perjudica al ganadero, agricultor y pescadores. 
Pero h…",     abascal no entiendo nada   huelga de transporte perjudica al ganadero  agricultor y pescadores   pero h ,enchercamad,es,0,1,2020-03-15 09:07:53+00:00,2547,False,226186,"Madrid, Comunidad de Madrid",,1505676985393160205
165,2022-03-20 22:44:57+00:00,"RT @hernandezcapri1: La Ministra de Transporte:
 “Yo no me voy a sentar con un grupo de radicales que utiliza la violencia,la huelga del tr…", la ministra de transporte    yo no me voy a sentar con un grupo de radicales que utiliza la violencia la huelga del tr ,jose_miguel66,es,0,356,2017-09-21 15:29:45+00:00,1290,False,18726,España,,1505676799023489024
170,2022-03-20 22:43:14+00:00,RT @JuanCar96622661: Genial Ana Samboal tratando la huelga de transporte y las protestas del mundo rural.@CodigoSamboal, genial ana samboal tratando la huelga de transporte y las protestas del mundo rural  ,lfediaz,es,0,4,2017-12-10 01:54:42+00:00,862,False,164469,,,1505676366842404865
173,2022-03-20 22:42:49+00:00,"@anluma99 Claro, todos los que se manifiestan contra el gobierno y contra los sindicatos, son unos nazis. 
¡Es que no hay derecho a hacer una huelga del transporte! https://t.co/XVPeanhNk6",  claro  todos los que se manifiestan contra el gobierno y contra los sindicatos  son unos nazis    es que no hay derecho a hacer una huelga del transporte   ,menel379,es,1,0,2014-08-26 15:30:45+00:00,290,False,13870,"Galicia, España",,1505676259979898881
183,2022-03-20 22:39:22+00:00,"@profeMartta Ya sé que te referías a la guerra, la pandemia, la huelga del transporte de mercancías, la subida del petróleo, gas, electricidad, etc etc, la cosa está fatal 🤦‍♂",  ya s  que te refer as a la guerra  la pandemia  la huelga del transporte de mercanc as  la subida del petr leo  gas  electricidad  etc etc  la cosa est  fatal    ,emilio_bravo__,es,1,0,2018-12-21 11:35:08+00:00,6059,False,318308,"Córdoba, España. ",,1505675392304259073
209,2022-03-20 22:27:39+00:00,"RT @wallanderviking: El batallón Azov de la Guardia Civil respeta el derecho de huelga de los empresarios del transporte, pero si eres un c…", el batall n azov de la guardia civil respeta el derecho de huelga de los empresarios del transporte  pero si eres un c ,claudion_claude,es,0,74,2011-06-19 11:19:15+00:00,1593,False,4939,"Division No.  6, Alberta",,1505672442899017729
214,2022-03-20 22:25:55+00:00,"RT @COPEMERIDA: Imagen del Polígono Industrial El Prado, en la primera jornada de huelga para el sector del transporte de mercancías. #Huel…", imagen del pol gono industrial el prado  en la primera jornada de huelga para el sector del transporte de mercanc as   huel ,JesusLpezGarci4,es,0,59,2021-07-15 16:43:59+00:00,13,False,48,"Mérida, España",,1505672009010794498
218,2022-03-20 22:24:44+00:00,"Parece que esta pregonando pescado  (ahora paralizado por la inútil huelga del transporte, lo que faltaba tras el virus) la Antonia cada vez que anuncia algo. Díganle que  no grite, joder ! 🤮🤮🤮🤮🤮🤮",parece que esta pregonando pescado   ahora paralizado por la in til huelga del transporte  lo que faltaba tras el virus  la antonia cada vez que anuncia algo  d ganle que  no grite  joder         ,Jruiztaco,es,0,0,2016-02-16 21:07:39+00:00,1076,False,42716,"Gáldar,  Gran Canaria. España",,1505671712263880709
224,2022-03-20 22:23:36+00:00,"RT @RubenSanchezTW: Al igual que el paro patronal (que no huelga) del transporte, la manifestación '20M Rural' tiene detrás a las derechas.…", al igual que el paro patronal  que no huelga  del transporte  la manifestaci n  20m rural  tiene detr s a las derechas  ,TorkyCenobita,es,0,376,2011-08-17 15:45:35+00:00,268,False,105187,,,1505671423523794948
227,2022-03-20 22:23:05+00:00,Piquetes de la huelga del transporte apedrean un autobús de ALSA que circulaba por la A-5 via @20m https://t.co/AebZtXslRx,piquetes de la huelga del transporte apedrean un autob s de alsa que circulaba por la a 5 via    ,Taxi_15,es,0,0,2013-01-07 19:09:47+00:00,1835,False,7372,españa,,1505671295635267591
230,2022-03-20 22:22:41+00:00,RT @JosperDay: @Francis61470479 @RubenSanchezTW @vigobulldog Hay que joderse!!! Bajarse el sueldo para pagar el gasoil?..  Llevo un par de…,       hay que joderse    bajarse el sueldo para pagar el gasoil     llevo un par de ,Anodino00,es,0,3,2019-12-22 14:05:41+00:00,2248,False,26765,Planeta menor d estrella cualq,,1505671193369657349
237,2022-03-20 22:21:38+00:00,@ajetestiernos Huelga transporte hasta el final 🤘💪💪,  huelga transporte hasta el final    ,ErrealaT,es,0,0,2011-11-16 23:33:03+00:00,79,False,11707,ESPAÑA,,1505670931217276943
243,2022-03-20 22:20:12+00:00,"Esta noche Putin ha dado un ultimátum a Mariupol
Mañana escucharemos las bocinas de la huelga del transporte, en otros lugares habrá gente que sufrirá las consecuencias en silencio

Entre medias los demás empezamos el lunes
Parece mentira que antes nos quejáramos del lunes",esta noche putin ha dado un ultim tum a mariupol ma ana escucharemos las bocinas de la huelga del transporte  en otros lugares habr  gente que sufrir  las consecuencias en silencio  entre medias los dem s empezamos el lunes parece mentira que antes nos quej ramos del lunes,eva28505954,es,1,0,2020-02-16 17:39:46+00:00,388,False,22070,Pamplona,,1505670571677437963
249,2022-03-20 22:18:41+00:00,"@mikihoyos @Santi_ABASCAL No entiendo nada. 
Huelga de transporte perjudica al ganadero, agricultor y pescadores. 
Pero hacen una manifestación por la luz, por el precio del carburantes. 
Si tiene poco beneficios al raiz de la huelga de transporte, tendrá menos pues no se puede enviar al destino, no?",    abascal no entiendo nada   huelga de transporte perjudica al ganadero  agricultor y pescadores   pero hacen una manifestaci n por la luz  por el precio del carburantes   si tiene poco beneficios al raiz de la huelga de transporte  tendr  menos pues no se puede enviar al destino  no ,lopezvicky20,es,2,1,2010-08-24 12:19:01+00:00,542,False,30463,,,1505670189941153796
253,2022-03-20 22:16:39+00:00,"RT @JuanMa_Moreno: Hay que actuar con mucha cabeza, empatía y generosidad para solucionar el conflicto que motiva la huelga del transporte.…", hay que actuar con mucha cabeza  empat a y generosidad para solucionar el conflicto que motiva la huelga del transporte  ,NietoTocino,es,0,65,2011-11-13 18:52:17+00:00,634,False,29,,,1505669676000591872
254,2022-03-20 22:16:15+00:00,RT @jucilnacional: Paso por #Córdoba del convoy de camiones escoltados por la #GuardiaCivil para garantizarles la circulación ante los posi…, paso por  c rdoba del convoy de camiones escoltados por la  guardiacivil para garantizarles la circulaci n ante los posi ,garceresistenci,es,0,71,2021-07-08 08:12:32+00:00,239,False,1679,,,1505669577254092801
257,2022-03-20 22:15:37+00:00,"RT @GROUCHOMARXdel1: #TeamVox
#LevantandoEspaña
#QuePaguenEllos 
“El peor enemigo del socialismo no es el capitalismo. Es la realidad” Marg…",  teamvox  levantandoespa a  quepaguenellos   el peor enemigo del socialismo no es el capitalismo  es la realidad  marg ,LlampugaBosch,es,0,10,2019-10-30 12:48:36+00:00,3884,False,49182,Alicante,,1505669415811092487
259,2022-03-20 22:14:59+00:00,RT @AlemanaJubilada: Si V0X apoya la huelga de transporte habrá que preguntarse si entonces es una huelga por los trabajadores o por la pat…, si v0x apoya la huelga de transporte habr  que preguntarse si entonces es una huelga por los trabajadores o por la pat ,MaiteLo30434151,es,0,507,2017-12-31 20:48:44+00:00,16,False,6327,"Valladolid, España",,1505669257727774726
264,2022-03-20 22:13:50+00:00,"Interior ordena multar a los huelguistas del transporte por reunión ilegal si hay más de 20 en el mismo punto

Las Comandancias reciben la orden de no utilizar términos como ""huelga"" o ""piquete"" y deben emplear ""paro"" o ""activista"".

https://t.co/L4jq2tNcPi",interior ordena multar a los huelguistas del transporte por reuni n ilegal si hay m s de 20 en el mismo punto  las comandancias reciben la orden de no utilizar t rminos como  huelga  o  piquete  y deben emplear  paro  o  activista     ,infoMaresme,es,0,0,2013-04-01 10:53:03+00:00,368,False,1925,Maresme,,1505668965506375683
265,2022-03-20 22:13:35+00:00,"@Oviedocityy Cómprate un camión, hazte autónomo, y después de un año, haces las misma pregunta.
Porque los que están en huelga, no son los ""empresarios del transporte"", son pequeñas PYMES y autónomos que ya no pueden más.
Y me merecen la mejor de las opiniones y les apoyo al máximo.",  c mprate un cami n  hazte aut nomo  y despu s de un a o  haces las misma pregunta  porque los que est n en huelga  no son los  empresarios del transporte   son peque as pymes y aut nomos que ya no pueden m s  y me merecen la mejor de las opiniones y les apoyo al m ximo ,Huktheim,es,2,0,2011-05-02 23:51:36+00:00,1144,False,110199,,,1505668904655507459
281,2022-03-20 22:07:46+00:00,"Maestros de la perversión del idioma.   Las instrucciones del Gobierno a la Guardia Civil ante el paro en el transporte : no usar los términos ""huelga"" y ""piquete"" e informar de las ""reuniones ilegales"" https://t.co/jIIK4L7K4t vía @ALERTAeldiario",maestros de la perversi n del idioma    las instrucciones del gobierno a la guardia civil ante el paro en el transporte   no usar los t rminos  huelga  y  piquete  e informar de las  reuniones ilegales    v a  ,Jea60930295,es,71,37,2017-06-17 22:16:41+00:00,31905,False,82466,Las Rozas De Madrid,,1505667442240012295
283,2022-03-20 22:07:06+00:00,RT @JAGlez: @NicoBolivariano Esto es todo lo que aparece de la huelga del transporte en uno de los medios comprados (@el_pais ) por el @PSO…,   esto es todo lo que aparece de la huelga del transporte en uno de los medios comprados    pais   por el   ,ArozOrte,es,0,19,2020-07-21 17:57:21+00:00,42,False,7696,,,1505667275105443844
286,2022-03-20 22:05:21+00:00,RT @Laperla87022871: ¡Caos total! La cerveza se agota en España por la huelga de transporte https://t.co/BjwbhSNuGf,  caos total  la cerveza se agota en espa a por la huelga de transporte  ,EsParacetamol,es,0,9,2013-09-19 19:10:42+00:00,765,False,5818,"Beaufort, Luxemburgo",,1505666832296030222
290,2022-03-20 22:04:37+00:00,RT @Robertolanzas75: Apoyo español a la huelga del transporte. Arriba Trabajadores y abajo el Gobierno traidor. https://t.co/czpU6Sb4f7, apoyo espa ol a la huelga del transporte  arriba trabajadores y abajo el gobierno traidor   ,Alvaro85461688,es,0,3,2018-08-14 11:58:34+00:00,74,False,6542,"Madrid, España",,1505666647486611457
300,2022-03-20 22:01:35+00:00,@PSOE @Adrilastra @AdrianBarbon @FSA_PSOE @Flickr Ya están los antisistema animales de la.iz💩 boicoteando las manifestaciones legítimas del sector del transporte. https://t.co/vsjysWLPne,        psoe   ya est n los antisistema animales de la iz  boicoteando las manifestaciones leg timas del sector del transporte   ,koelle_,es,0,0,2010-04-28 10:49:42+00:00,223,False,21289,,,1505665886249705480
301,2022-03-20 22:01:09+00:00,RT @Normopata: 🧵{Hilo} ¿Conocéis la Huelga del Transporte que vivió el Gobierno Socialista de Allende en Chile 🇨🇱 ? Aveces la historia se p…,   hilo   conoc is la huelga del transporte que vivi  el gobierno socialista de allende en chile      aveces la historia se p ,JosAnto96771212,es,0,32,2022-02-14 21:26:15+00:00,222,False,3481,"Miami, FL",,1505665774131814402
302,2022-03-20 22:00:49+00:00,RT @JulioAbascal56: Vergonzoso vídeo de CCOO atacando a la huelga del transporte https://t.co/H0tq8pY92N vía @ElDiestro_, vergonzoso v deo de ccoo atacando a la huelga del transporte   v a   ,Andres19750446,es,0,1,2020-05-12 22:18:39+00:00,266,False,503,,,1505665693886341127
